"Word","Length","SUBTLWF","POS"
"tennis","6","13.63","NN"
"tension","7","8.55","NN"
"tequila","7","5.86","NN"
"terminal","8","7.65","NN|JJ"
"terrible","8","94.02","JJ"
"terribly","8","23.63","RB"
"terrific","8","41.92","JJ"
"terrified","9","9.57","VB|JJ"
"territory","9","14.67","NN"
"terror","6","9.00","NN"
"terrorist","9","12.10","JJ|NN"
"terrorists","10","11.78","NN"
"testify","7","14.20","VB"
"testimony","9","14.75","NN"
"thankful","8","5.37","JJ"
"theatre","7","11.41","NN"
"theft","5","6.75","NN"
"themselves","10","45.94","minor|NN"
"theories","8","5.41","NN"
"theory","6","28.61","NN"
"therapist","9","9.51","NN"
"therapy","7","18.51","NN"
"therefore","9","20.75","RB"
"thieves","7","9.10","NN|VB"
"thirsty","7","12.29","JJ"
"thirteen","8","5.25","minor|NN"
"syrup","5","5.10","NN"
"system","6","91.51","NN"
"systems","7","16.63","NN"
"tactical","8","5.51","JJ"
"talented","8","11.39","JJ"
"targets","7","6.67","NN|VB"
"Tarzan","6","9.73","NN"
"tattoo","6","11.96","NN|VB"
"teachers","8","11.39","NN"
"technical","9","8.24","JJ"
"technique","9","8.94","NN"
"technology","10","14.94","NN"
"teenage","7","6.86","JJ"
"teenager","8","6.88","NN"
"telegram","8","9.24","NN"
"supervisor","10","5.96","NN"
"supplies","8","14.06","NN|VB"
"supply","6","18.67","NN|VB"
"support","7","50.73","NN|VB"
"suppose","7","125.80","VB"
"supposedly","10","5.14","RB"
"supreme","7","8.76","NN"
"surface","7","18.24","NN|VB"
"surgeon","7","16.43","NN"
"surgery","7","32.37","NN"
"surgical","8","8.02","JJ"
"surprise","8","88.90","NN|VB"
"surprised","9","55.06","VB|JJ"
"surprises","9","9.75","NN|VB"
"surprising","10","6.02","JJ|VB"
"surrender","9","15.47","VB|NN"
"surrounded","10","13.27","VB"
"survival","8","10.10","NN"
"survive","7","30.14","VB"
"survived","8","12.94","VB"
"survivors","9","6.53","NN"
"suspect","7","44.20","NN"
"suspected","9","9.75","VB|JJ"
"suspects","8","12.45","NN"
"suspended","9","7.31","VB|JJ"
"suspicion","9","7.31","NN"
"suspicious","10","15.98","JJ"
"sustained","9","7.78","VB"
"swallow","7","12.73","VB|NN"
"swallowed","9","6.71","VB"
"sweetest","8","5.78","JJ"
"sweetheart","10","64.16","NN"
"sweetie","7","53.55","NN"
"swimming","8","19.98","VB|NN"
"switched","8","7.67","VB"
"Sydney","6","31.75","NN"
"symbol","6","8.59","NN"
"sympathy","8","8.35","NN"
"symptoms","8","7.98","NN"
"syndrome","8","6.27","NN"
"subject","7","36.96","NN|JJ"
"subjects","8","6.96","NN"
"submarine","9","7.10","NN"
"submit","6","5.53","VB"
"substance","9","7.14","NN"
"subway","6","10.71","NN"
"succeed","7","9.45","VB"
"success","7","27.25","NN"
"successful","10","20.33","JJ"
"suction","7","5.63","NN|VB"
"suddenly","8","55.96","RB"
"suffered","8","12.86","VB"
"suffering","9","19.43","VB|NN|JJ"
"suggest","7","39.24","VB"
"suggested","9","10.29","VB"
"suggesting","10","10.80","VB"
"suggestion","10","12.20","NN"
"suggests","8","5.02","VB|NN"
"suicide","7","34.25","NN"
"suitcase","8","13.39","NN"
"sunrise","7","6.06","NN"
"sunset","6","10.31","NN"
"sunshine","8","11.84","NN"
"superior","8","13.00","JJ|NN"
"superman","8","12.22","NN"
"stitches","8","5.00","NN|VB"
"stomach","7","33.82","NN|VB"
"storage","7","8.86","NN"
"straight","8","122.43","JJ|NN"
"straighten","10","11.20","VB"
"stranger","8","27.00","NN|JJ"
"strangers","9","15.45","NN"
"strategy","8","9.45","NN"
"strawberry","10","5.53","NN"
"streets","7","31.59","NN"
"strength","8","36.92","NN"
"stressed","8","5.55","VB|JJ"
"stretch","7","14.67","NN|VB"
"strict","6","7.02","JJ"
"strictly","8","10.75","RB"
"stripper","8","5.24","NN"
"stronger","8","19.10","JJ|NN"
"strongly","8","6.71","RB"
"structure","9","10.18","NN|VB"
"struggle","8","13.37","NN|VB"
"struggling","10","6.20","VB"
"Stuart","6","12.76","NN"
"stubborn","8","10.86","JJ"
"student","7","43.04","NN"
"students","8","30.67","NN"
"studied","7","11.31","VB"
"studies","7","9.35","NN|VB"
"studio","6","23.33","NN"
"studying","8","19.35","VB"
"stuffed","7","8.65","VB"
"stupid","6","184.41","JJ|NN"
"stadium","7","6.12","NN"
"standard","8","18.43","JJ|NN"
"standards","9","7.22","NN"
"Stanford","8","5.57","NN"
"Stanley","7","18.61","NN"
"starboard","9","6.55","VB|NN"
"statement","9","29.24","NN"
"statements","10","5.47","NN"
"stations","8","12.65","NN|VB"
"Stephen","7","13.29","NN"
"stereo","6","5.96","NN"
"special","7","148.57","JJ|NN"
"specialist","10","5.18","NN"
"specialty","9","5.33","NN"
"species","7","13.65","NN|minor"
"specific","8","17.80","JJ|NN"
"speech","6","38.04","NN"
"speeches","8","5.59","NN"
"spirit","6","49.35","NN"
"spirits","7","16.14","NN"
"spiritual","9","8.88","JJ"
"splendid","8","11.67","JJ"
"sponge","6","6.71","NN"
"sponsor","7","5.35","NN|VB"
"spreading","9","6.75","VB"
"squeeze","7","15.08","VB|NN"
"squirrel","8","5.47","NN|VB"
"soccer","6","12.55","NN"
"social","6","33.39","JJ|NN"
"society","7","32.92","NN"
"software","8","8.43","NN"
"soldier","7","38.92","NN|VB"
"soldiers","8","27.63","NN|VB"
"solution","8","15.82","NN"
"someday","7","33.84","RB"
"somehow","7","45.29","RB"
"someplace","9","31.59","RB"
"sometime","8","33.31","RB|JJ"
"sometimes","9","179.00","RB"
"somewhat","8","9.10","RB|NN"
"somewhere","9","111.53","RB|NN"
"sooner","6","37.02","RB"
"Sophia","6","5.67","NN"
"sorrow","6","6.86","NN|VB"
"sources","7","8.22","NN|VB"
"southern","8","11.61","JJ|NN"
"Soviet","6","7.06","JJ|NN"
"spaghetti","9","5.92","NN"
"Spanish","7","22.16","NN|JJ"
"slaughter","9","5.45","NN|VB"
"sleeve","6","5.61","NN"
"slightest","9","6.78","JJ"
"slightly","8","11.29","RB"
"sloppy","6","5.88","JJ"
"slowly","6","25.08","RB"
"smaller","7","13.33","JJ|NN"
"sneaking","8","7.92","VB"
"sickness","8","7.94","NN"
"sidewalk","8","5.47","NN"
"Sidney","6","10.41","NN"
"signal","6","37.76","NN|VB"
"signals","7","9.53","NN|VB"
"signature","9","12.20","NN"
"silence","7","25.37","NN|VB"
"silent","6","23.00","JJ"
"similar","7","13.63","JJ"
"Simmons","7","5.69","NN"
"Simon","5","24.86","NN"
"Simpson","7","6.98","NN"
"sincere","7","5.98","JJ"
"situations","10","7.10","NN"
"situation","9","82.49","NN"
"sixteen","7","8.20","minor|NN"
"skeleton","8","5.12","NN"
"skinny","6","13.98","JJ"
"shallow","7","5.90","JJ|NN"
"Sharon","6","10.27","NN"
"Sheila","6","8.27","NN"
"shepherd","8","7.43","NN|VB"
"sheriff","7","61.08","NN"
"Sherlock","8","5.27","NN"
"sherry","6","13.82","NN"
"shield","6","8.20","NN|VB"
"shields","7","5.14","NN|VB"
"shipment","8","6.31","NN"
"Shirley","7","16.55","NN"
"shortly","7","10.06","RB"
"shotgun","7","10.04","NN"
"shoulder","8","26.20","NN|VB"
"shoulders","9","11.76","NN|VB"
"shrimp","6","8.71","NN"
"shuttle","7","5.53","NN"
"secure","6","24.33","VB|JJ"
"secured","7","5.14","VB"
"security","8","94.31","NN"
"selfish","7","15.90","JJ"
"semester","8","6.94","NN"
"senator","7","33.16","NN"
"senior","6","26.25","JJ|NN"
"sensible","8","6.80","JJ|NN"
"sensitive","9","22.53","JJ|NN"
"sentence","8","20.53","NN|VB"
"separate","8","21.71","JJ"
"separated","9","10.59","VB"
"September","9","11.00","NN"
"sequence","8","8.39","NN"
"sergeant","8","62.94","NN"
"serious","7","148.35","JJ|NN"
"seriously","9","64.12","RB"
"servant","7","12.14","NN"
"servants","8","6.90","NN"
"service","7","79.92","NN|VB"
"services","8","20.65","NN|VB"
"session","7","13.29","NN"
"settlement","10","6.31","NN"
"setup","5","8.63","NN|VB"
"seventeen","9","5.80","minor|NN"
"seventh","7","9.75","JJ|NN"
"several","7","38.78","JJ|RB"
"sexual","6","33.20","JJ"
"sexually","8","8.67","RB"
"shadow","6","21.18","NN|VB"
"shadows","7","11.43","NN|VB"
"scenario","8","6.25","NN"
"schedule","8","29.76","NN|VB"
"scheduled","9","9.47","VB"
"scheme","6","7.25","NN|VB"
"schools","7","14.00","NN|VB"
"science","7","37.25","NN"
"scientist","9","12.18","NN"
"scientific","10","11.37","JJ"
"scientists","10","9.69","NN"
"scissors","8","6.69","NN"
"Scotland","8","7.41","NN"
"scrambled","9","7.20","VB"
"scratch","7","18.84","NN|VB"
"screaming","9","38.14","VB|NN"
"screams","7","16.90","NN|VB"
"screech","7","6.24","NN|VB"
"screwed","7","29.78","VB|JJ"
"script","6","19.61","NN"
"searched","8","7.96","VB"
"searching","9","16.78","VB|NN|JJ"
"Seattle","7","12.49","NN"
"seconds","7","70.65","NN|VB"
"secretary","9","33.22","NN"
"secretly","8","5.10","RB"
"secrets","7","23.86","NN"
"safely","6","11.10","RB"
"safety","6","32.33","NN"
"salary","6","10.75","NN"
"salesman","8","10.43","NN"
"salvation","9","5.02","NN"
"Samuel","6","6.75","NN"
"Sandra","6","7.27","NN"
"sandwich","8","21.92","NN|VB"
"sandwiches","10","9.61","NN|VB"
"Santa","5","46.69","NN"
"satellite","9","15.65","NN"
"satisfied","9","15.51","VB|JJ"
"satisfy","7","5.61","VB"
"Saturday","8","47.51","NN"
"sausage","7","7.78","NN"
"savage","6","7.16","JJ|NN|VB"
"Sawyer","6","6.55","NN"
"scandal","7","8.12","NN"
"robbery","7","23.04","NN"
"Robinson","8","7.55","NN"
"Rodney","6","6.35","NN"
"romance","7","15.53","NN|VB"
"romantic","8","35.18","JJ|NN"
"roommate","8","11.39","NN"
"routine","7","19.84","JJ|NN"
"rubbish","7","5.59","NN|VB"
"rumors","6","9.18","NN|VB"
"runway","6","5.47","NN"
"Russell","7","18.16","NN"
"Russia","6","12.35","NN"
"Russian","7","29.43","NN|JJ"
"Russians","8","10.00","NN"
"sacred","6","14.02","JJ"
"sacrifice","9","17.90","NN|VB"
"retreat","7","9.49","NN|VB"
"return","6","91.69","NN|VB"
"returned","8","24.76","VB"
"returning","9","11.57","VB|NN|JJ"
"returns","7","8.76","NN|VB"
"reunion","7","8.82","NN"
"revenge","7","19.04","NN"
"reverend","8","18.88","NN"
"revolution","10","12.33","NN"
"rhythm","6","10.90","NN"
"ribbon","6","5.06","NN"
"Richard","7","73.82","NN"
"ridiculous","10","55.61","JJ"
"ritual","6","8.94","NN"
"repeating","9","5.29","VB|NN|JJ"
"replace","7","13.35","VB|NN"
"replaced","8","8.25","VB"
"reporter","8","20.39","NN"
"reporters","9","8.55","NN"
"reporting","9","11.55","VB|NN"
"represent","9","15.16","VB"
"represents","10","6.14","VB"
"republic","8","5.61","NN"
"reputation","10","19.27","NN"
"request","7","25.57","NN|VB"
"requested","9","8.63","VB"
"requests","8","5.35","NN|VB"
"require","7","10.63","VB"
"required","8","10.73","VB"
"requires","8","9.59","VB"
"rescue","6","25.41","NN|VB"
"rescued","7","5.41","VB"
"research","8","33.10","NN|VB"
"residence","9","8.25","NN"
"resident","8","7.33","NN"
"residents","9","5.20","NN"
"resistance","10","8.45","NN"
"resources","9","9.22","NN"
"respect","7","71.45","NN|VB"
"respected","9","6.59","VB|JJ"
"respects","8","6.67","NN|VB"
"respond","7","14.10","VB|NN"
"response","8","16.10","NN"
"restaurant","10","46.53","NN"
"result","6","19.76","NN|VB"
"results","7","22.71","NN|VB"
"retarded","8","6.24","JJ"
"retirement","10","8.45","NN"
"regarding","9","8.47","VB"
"regardless","10","5.14","RB"
"regards","7","5.06","NN|VB"
"register","8","11.00","VB|NN"
"registered","10","10.14","VB|JJ"
"regret","6","27.14","VB|NN"
"regrets","7","5.90","VB|NN"
"regular","7","33.86","JJ"
"rehearsal","9","12.45","NN|JJ"
"relations","9","9.55","NN"
"relative","8","7.78","JJ|NN"
"relatives","9","10.06","NN"
"release","7","36.29","NN|VB"
"relevant","8","5.61","JJ"
"reliable","8","5.90","JJ"
"relief","6","14.59","NN"
"relieve","7","5.57","VB"
"relieved","8","10.27","VB|JJ"
"religion","8","13.86","NN"
"religious","9","13.86","JJ"
"remaining","9","6.75","VB|JJ|NN"
"remarkable","10","12.57","JJ"
"Rembrandt","9","10.20","NN"
"remembered","10","22.47","VB"
"remembers","9","7.71","VB"
"reminded","8","8.29","VB"
"reminds","7","18.37","VB|NN"
"rendezvous","10","6.12","NN|VB"
"repair","6","8.82","NN|VB"
"recall","6","19.67","VB|NN"
"receipt","7","7.43","NN"
"received","8","28.16","VB"
"receiving","9","7.69","VB|NN"
"recently","8","26.04","RB"
"reception","9","11.14","NN"
"reckon","6","11.69","VB"
"recognize","9","34.31","VB"
"recognized","10","8.98","VB"
"recommend","9","14.00","VB"
"recording","9","14.67","NN|VB"
"reconsider","10","5.02","VB"
"records","7","40.51","NN"
"recover","7","8.02","VB"
"recovered","9","8.78","VB"
"recovery","8","9.10","NN"
"reference","9","8.47","NN"
"referring","9","6.73","VB"
"reflection","10","5.02","NN"
"radar","5","35.51","NN"
"radiation","9","8.22","NN"
"railroad","8","12.43","NN"
"rainbow","7","7.98","NN"
"Ralph","5","15.35","NN"
"random","6","10.24","JJ|NN"
"ransom","6","9.76","NN"
"rational","8","5.02","JJ"
"razor","5","6.88","NN"
"reaction","8","16.27","NN"
"reality","7","30.25","NN"
"realize","7","79.06","VB"
"realized","8","35.96","VB"
"reasonable","10","18.55","JJ"
"reasons","7","32.45","NN|VB"
"pumpkin","7","10.84","NN"
"punish","6","9.67","VB"
"punished","8","10.31","VB"
"punishment","10","13.43","NN"
"puppet","6","5.47","NN"
"puppies","7","5.45","NN"
"purchase","8","6.37","VB|NN"
"purple","6","12.33","JJ|NN"
"purpose","7","35.08","NN"
"purposes","8","5.14","NN"
"pursue","6","6.41","VB"
"pursuit","7","7.04","NN"
"qualified","9","8.25","VB"
"quality","7","18.57","NN|JJ"
"quantum","7","5.59","NN"
"quarrel","7","5.61","NN|VB"
"quarter","7","26.02","NN|VB"
"quarters","8","16.16","NN|VB"
"queen","5","54.69","NN"
"queens","6","9.73","NN"
"question","8","198.35","NN|VB"
"questioned","10","5.75","VB"
"questions","9","117.96","NN|VB"
"quickly","7","56.49","RB"
"quietly","7","12.33","RB"
"quitting","8","8.82","VB"
"rabbi","5","6.71","NN"
"rabbit","6","20.94","NN|VB"
"rabbits","7","6.43","NN|VB"
"program","7","42.63","NN|VB"
"programs","8","5.57","NN|VB"
"progress","8","21.25","NN"
"project","7","37.39","NN"
"projects","8","5.59","NN"
"promise","7","153.12","NN|VB"
"promised","8","62.14","VB|JJ"
"promises","8","11.37","VB|NN"
"promising","9","6.59","JJ|VB"
"promoted","8","5.61","VB"
"promotion","9","10.92","NN"
"pronounce","9","6.49","VB"
"properly","8","12.90","RB"
"property","8","33.29","NN"
"prophecy","8","6.29","NN"
"prophet","7","5.33","NN"
"proposal","8","8.78","NN"
"propose","7","13.00","VB"
"proposed","8","6.73","VB"
"prosecutor","10","7.18","NN"
"prostitute","10","7.55","NN"
"protect","7","70.25","VB"
"protected","9","10.86","VB|JJ"
"protecting","10","16.02","VB"
"protection","10","23.47","NN"
"protective","10","6.06","JJ|NN"
"protocol","8","7.49","NN"
"provide","7","17.41","VB|NN"
"provided","8","9.92","VB"
"psychic","7","11.86","JJ|NN"
"psycho","6","11.02","NN"
"psychology","10","5.47","NN"
"psychotic","9","6.39","JJ"
"public","6","71.08","JJ|NN|RB"
"publicity","9","10.47","NN"
"publish","7","5.10","VB"
"published","9","7.20","VB"
"premises","8","5.08","NN"
"prepare","7","33.55","VB"
"prepared","8","35.78","VB|JJ"
"preparing","9","8.96","VB"
"presence","8","20.86","NN"
"presented","9","5.78","VB"
"presents","8","19.08","NN"
"preserve","8","5.63","VB|NN"
"president","9","140.67","NN"
"pressure","8","53.12","NN|VB"
"presume","7","8.14","VB"
"pretend","7","40.31","VB|JJ"
"pretending","10","15.59","VB"
"prettiest","9","5.73","JJ"
"previous","8","9.49","JJ"
"previously","10","18.10","RB"
"primary","7","8.71","JJ"
"primitive","9","5.16","JJ"
"princess","8","39.59","NN"
"principal","9","13.75","JJ|NN"
"principle","9","7.75","NN"
"principles","10","6.00","NN"
"priority","8","10.18","NN"
"prisoner","8","23.14","NN"
"prisoners","9","16.10","NN"
"privacy","7","15.18","NN"
"private","7","75.96","JJ|NN|RB"
"privilege","9","10.63","NN"
"probation","9","5.86","NN"
"problems","8","77.08","NN"
"procedure","9","16.14","NN"
"procedures","10","5.10","NN"
"proceed","7","20.90","VB|NN"
"process","7","27.98","NN|VB"
"produce","7","11.06","VB"
"produced","8","5.25","VB"
"producer","8","12.47","NN"
"product","7","14.75","NN"
"production","10","12.65","NN"
"products","8","6.12","NN"
"profession","10","9.04","NN"
"professor","9","69.57","NN"
"profile","7","12.88","NN|VB"
"profit","6","10.96","NN|VB"
"profits","7","5.53","NN|VB"
"population","10","9.10","NN"
"portrait","8","5.43","NN"
"position","8","72.08","NN|VB"
"positions","9","9.59","NN|VB"
"positive","8","31.63","JJ|NN"
"positively","10","6.08","RB"
"possess","7","5.49","VB"
"possessed","9","6.67","VB"
"possession","10","13.33","NN"
"possible","8","114.04","JJ|RB|NN"
"possibly","8","48.90","RB"
"potato","6","11.29","NN"
"potatoes","8","11.10","NN"
"potential","9","18.82","JJ|NN"
"powerful","8","35.12","JJ|NN"
"practical","9","11.31","JJ|NN"
"practice","8","45.69","NN|VB"
"practicing","10","9.88","VB"
"prayers","7","9.51","NN"
"preacher","8","6.71","NN"
"precinct","8","7.33","NN"
"precious","8","23.35","JJ"
"precise","7","5.20","JJ"
"precisely","9","11.98","RB"
"pregnancy","9","6.55","NN"
"pregnant","8","52.02","JJ"
"plastic","7","18.76","NN|JJ"
"platform","8","6.14","NN"
"platoon","7","7.22","NN"
"playground","10","5.10","NN"
"pleasant","8","21.02","JJ|NN"
"pleasure","8","80.75","NN|VB"
"pledge","6","6.88","NN|VB"
"plenty","6","62.31","NN"
"pneumonia","9","5.04","NN"
"poetry","6","13.37","NN"
"pointing","8","8.33","VB|NN"
"poison","6","24.55","NN|VB"
"poisoned","8","7.73","VB"
"poisoning","9","5.92","NN|VB"
"policeman","9","11.73","NN"
"policy","6","27.02","NN"
"polish","6","9.67","NN|VB"
"polite","6","13.94","JJ"
"political","9","21.86","JJ"
"politics","8","16.57","NN"
"popcorn","7","9.12","NN"
"popular","7","23.08","JJ|NN"
"Phoenix","7","10.88","NN"
"photograph","10","11.35","NN|VB"
"photos","6","19.92","NN"
"phrase","6","9.10","NN|VB"
"Phyllis","7","5.55","NN"
"physical","8","27.18","JJ|NN"
"physically","10","9.24","RB"
"physician","9","6.14","NN"
"physics","7","9.45","NN"
"pickup","6","7.63","NN"
"picnic","6","11.69","NN"
"picture","7","138.45","NN|VB"
"pictures","8","68.18","NN|VB"
"pierce","6","25.75","VB|NN"
"Pierre","6","7.73","NN"
"pigeon","6","5.90","NN"
"pirates","7","6.71","NN|VB"
"pistol","6","10.06","NN"
"pizza","5","33.51","NN"
"plague","6","8.31","NN|VB"
"pencil","6","9.86","NN|VB"
"pentagon","8","5.84","NN"
"percent","7","25.75","NN"
"perfect","7","158.65","JJ|NN"
"perfection","10","5.39","NN"
"perfectly","9","43.25","RB"
"perform","7","16.10","VB"
